iter	Passed	Remaining
404	8932	2095
405	8954	2073
406	8977	2051
407	9000	2029
408	9023	2007
409	9046	1985
410	9068	1963
411	9091	1941
412	9114	1919
413	9135	1897
414	9157	1875
415	9179	1853
416	9203	1831
417	9224	1809
418	9245	1787
419	9266	1765
420	9290	1743
421	9312	1721
422	9334	1699
423	9355	1676
424	9377	1654
425	9398	1632
426	9420	1610
427	9441	1588
428	9464	1566
429	9485	1544
430	9508	1522
431	9531	1500
432	9552	1478
433	9573	1455
434	9594	1433
435	9617	1411
436	9640	1389
437	9661	1367
438	9683	1345
439	9705	1323
440	9726	1301
441	9748	1279
442	9768	1256
443	9790	1234
444	9811	1212
445	9832	1190
446	9854	1168
447	9876	1146
448	9898	1124
449	9919	1102
450	9942	1080
451	9964	1058
452	9985	1036
453	10008	1014
454	10029	991
455	10050	969
456	10074	947
457	10096	925
458	10119	903
459	10142	881
460	10165	859
461	10188	837
462	10211	816
463	10233	794
464	10255	771
465	10278	749
466	10300	727
467	10322	705
468	10342	683
469	10364	661
470	10386	639
471	10407	617
472	10429	595
473	10451	573
474	10472	551
475	10493	529
476	10515	507
477	10536	484
478	10557	462
479	10580	440
480	10601	418
481	10623	396
482	10645	374
483	10668	352
484	10689	330
485	10711	308
486	10733	286
487	10756	264
488	10777	242
489	10799	220
490	10820	198
491	10842	176
492	10863	154
493	10885	132
494	10906	110
495	10928	88
496	10950	66
497	10973	44
498	10995	22
499	11018	0
