iter	Logloss
0	0.6826711076
1	0.6724929701
2	0.6627288237
3	0.6543634575
4	0.6458205107
5	0.6378555053
6	0.6302690312
7	0.6232345199
8	0.6170277581
9	0.6108511657
10	0.6052198403
11	0.5995522521
12	0.5944185826
13	0.5893942547
14	0.5845371411
15	0.5801691628
16	0.5756827213
17	0.5714766687
18	0.5674822808
19	0.563684588
20	0.5601578936
21	0.5567696035
22	0.553738827
23	0.5505650645
24	0.547271987
25	0.5445229857
26	0.5414636333
27	0.5384495659
28	0.5356909481
29	0.5337813982
30	0.5313675829
31	0.5290800903
32	0.5269469908
33	0.5247727795
34	0.5221985813
35	0.5201659551
36	0.518056038
37	0.5159620548
38	0.5137142992
39	0.5115707793
40	0.5098698706
41	0.5079724352
42	0.5062702397
43	0.5045537871
44	0.5030913915
45	0.5014761426
46	0.4997389061
47	0.4984124411
48	0.4970654165
49	0.4954000851
50	0.4941049852
51	0.4928788758
52	0.4915985096
53	0.490180278
54	0.4889548099
55	0.4875332196
56	0.4862433284
57	0.4850293867
58	0.4837957727
59	0.4825484271
60	0.4816566784
61	0.4805409217
62	0.4796038114
63	0.4785589833
64	0.4775110411
65	0.4764522682
66	0.475646785
67	0.4747286297
68	0.4736656748
69	0.4726202934
70	0.4717103096
71	0.4710627402
72	0.4702159307
73	0.4694494311
74	0.4685395805
75	0.4675990462
76	0.466694646
77	0.4656849311
78	0.4648332626
79	0.4639201765
80	0.4631680743
81	0.4623134082
82	0.4615339806
83	0.4607253437
84	0.4600794224
85	0.4592965534
86	0.4587285641
87	0.4581143253
88	0.4574572807
89	0.4566535541
90	0.4560494303
91	0.4555269266
92	0.4548754098
93	0.454196909
94	0.4536402366
95	0.4530507022
96	0.4524865618
97	0.4518592108
98	0.4512742943
99	0.4507058234
100	0.4501778191
101	0.4495322791
102	0.4490470341
103	0.4485269545
104	0.4479966242
105	0.447594271
106	0.4471547786
107	0.446657411
108	0.4462019852
109	0.4457357713
110	0.4453906102
111	0.4448176733
112	0.4444365831
113	0.4438992201
114	0.4435125831
115	0.4431584833
116	0.4427454883
117	0.4423692773
118	0.4419544442
119	0.4416168331
120	0.4412264702
121	0.4408349337
122	0.440497863
123	0.4400828765
124	0.4396826354
125	0.4393228045
126	0.4388842088
127	0.4385818617
128	0.4382895985
129	0.4377966558
130	0.4374643208
131	0.4371516253
132	0.4367000098
133	0.4363658247
134	0.4359951493
135	0.4357376547
136	0.4354069537
137	0.4350209175
138	0.4346890461
139	0.4343168514
140	0.4340592115
141	0.4337548437
142	0.4334895531
143	0.4332332269
144	0.4329474205
145	0.4326627857
146	0.4323876961
147	0.4320297313
148	0.4317359883
149	0.4314365424
150	0.4311523886
151	0.4309173902
152	0.4305463709
153	0.4302705052
154	0.4300025779
155	0.4296871458
156	0.429379493
157	0.4292097262
158	0.4288733696
159	0.4285829029
160	0.4283652723
161	0.4281455441
162	0.427864629
163	0.4276289579
164	0.4273583942
165	0.4270888823
166	0.4268512858
167	0.4264880102
168	0.4261958021
169	0.425914905
170	0.4255725972
171	0.4253057887
172	0.4250543217
173	0.424788286
174	0.4244842568
175	0.4242231362
176	0.4240011526
177	0.4238112267
178	0.4235432928
179	0.423301129
180	0.4230187925
181	0.422761101
182	0.4224979737
183	0.4222687925
184	0.4220350663
185	0.4218625119
186	0.42161969
187	0.4213875239
188	0.4211308954
189	0.4208094667
190	0.420601152
191	0.4203214631
192	0.4200817543
193	0.4198064935
194	0.4195315377
195	0.4193052072
196	0.4190238477
197	0.4187914269
198	0.4185552902
199	0.4182852567
200	0.4180333331
201	0.4178028626
202	0.4175300665
203	0.4173188935
204	0.4170704028
205	0.4168279411
206	0.4165097815
207	0.4162893904
208	0.416035461
209	0.4158144391
210	0.4155276424
211	0.4153008478
212	0.4150752723
213	0.414838424
214	0.4145807872
215	0.4143684771
216	0.4141134885
217	0.4139124413
218	0.4136362263
219	0.4134046684
220	0.4131291066
221	0.4128898536
222	0.4126780173
223	0.4124569643
224	0.4122234415
225	0.4119628
226	0.4117615562
227	0.4115428851
228	0.4113455322
229	0.4111338852
230	0.41088912
231	0.4106691567
232	0.4105022438
233	0.4102569654
234	0.4100200076
235	0.4098218907
236	0.4095906746
237	0.4093148533
238	0.409081559
239	0.4088981828
240	0.4086591587
241	0.4084445535
242	0.4082046194
243	0.407947437
244	0.4076902616
245	0.4074532696
246	0.4072265877
247	0.4070205045
248	0.4067553825
249	0.4065109745
250	0.4063048902
251	0.4060551556
252	0.4058514651
253	0.4056071445
254	0.405395909
255	0.4051645423
256	0.4049045274
257	0.4047351121
258	0.4045403198
259	0.404341918
260	0.4041273608
261	0.4039689308
262	0.4038262804
263	0.403602423
264	0.4033858945
265	0.4032009899
266	0.4029863277
267	0.4027769881
268	0.4025668543
269	0.4024316787
270	0.4022687157
271	0.4020900534
272	0.4018655427
273	0.4016620555
274	0.4014859763
275	0.4013070158
276	0.4011156006
277	0.4009168038
278	0.4006900829
279	0.4004891096
280	0.4003100694
281	0.4001516693
282	0.3999426195
283	0.3997669812
284	0.3996157207
285	0.399433344
286	0.3992372982
287	0.3990309277
288	0.3988630242
289	0.3986604403
290	0.3984028373
291	0.3982104286
292	0.3980050477
293	0.3977902438
294	0.3975895796
295	0.397378876
296	0.3971968314
297	0.3970062617
298	0.3968201798
299	0.3966335994
300	0.3964084958
301	0.3961914846
302	0.3960201737
303	0.3957966184
304	0.3955696942
305	0.3954014155
306	0.3951995604
307	0.3949691094
308	0.3947586767
309	0.3945930603
310	0.3944196903
311	0.3942487072
312	0.3940301001
313	0.3938407998
314	0.3936159384
315	0.3934043068
316	0.3932211416
317	0.3930467468
318	0.3929245114
319	0.3927379017
320	0.3925597018
321	0.3923733572
322	0.3921970194
323	0.3920068287
324	0.3918756865
325	0.3917129135
326	0.3914840421
327	0.3912874432
328	0.3911274284
329	0.3909413537
330	0.3907221753
331	0.3905485522
332	0.3903741842
333	0.3901857881
334	0.3899717277
335	0.3898571222
336	0.3897191259
337	0.3895683733
338	0.3893878427
339	0.3892612498
340	0.3890471372
341	0.3888633402
342	0.3886931409
343	0.388523508
344	0.3882910032
345	0.3881147958
346	0.3879300205
347	0.3878109603
348	0.3876478863
349	0.3875126964
350	0.3873262964
351	0.3871413253
352	0.3869668364
353	0.3867989146
354	0.3866095506
355	0.3864121174
356	0.3862129738
357	0.385987604
358	0.3857989237
359	0.3856230462
360	0.3854791405
361	0.3852779264
362	0.3851221005
363	0.3850061996
364	0.384832337
365	0.3846428131
366	0.3844610974
367	0.3842628226
368	0.3840992315
369	0.3839529638
370	0.3837718212
371	0.3835872622
372	0.3834094716
373	0.3832771412
374	0.3830864039
375	0.3829145726
376	0.3827791021
377	0.3826465711
378	0.3825197805
379	0.3823237756
380	0.3821920032
381	0.3820326548
382	0.3818442094
383	0.3816757581
384	0.3815118455
385	0.3813469277
386	0.3811456521
387	0.3809824603
388	0.3808058
389	0.3806309708
390	0.3804989051
391	0.3803553046
392	0.3802195905
393	0.3800576476
394	0.3798848852
395	0.3797078106
396	0.3795303466
397	0.3793382939
398	0.3791682075
399	0.3790084765
400	0.37888917
401	0.3787488594
402	0.3785745754
403	0.3783625158
404	0.3782509896
405	0.3780879094
406	0.3779237593
407	0.3777394643
408	0.3776021822
409	0.3774700474
410	0.3772541781
411	0.3771633566
412	0.3770191865
413	0.3768571605
414	0.3767014567
415	0.3765413612
416	0.3763704923
417	0.3761760784
418	0.3759959295
419	0.3758055063
420	0.3756629769
421	0.3755444444
422	0.3753455468
423	0.3751624308
424	0.3750132656
425	0.374864907
426	0.3746892531
427	0.3745307029
428	0.3743486124
429	0.3741758318
430	0.374030635
431	0.3738437943
432	0.373676964
433	0.3734984301
434	0.3733594036
435	0.3731905561
436	0.3730783288
437	0.3729423013
438	0.3727960211
439	0.3726384782
440	0.3724849292
441	0.3723415184
442	0.372165489
443	0.3720132852
444	0.3718925739
445	0.3717539926
446	0.3716017973
447	0.3714607815
448	0.3713122851
449	0.3711555787
450	0.3710074634
451	0.3708513167
452	0.3707134318
453	0.3706222611
454	0.3704503267
455	0.3703051726
456	0.3701471079
457	0.3699742857
458	0.3698159977
459	0.3696648726
460	0.3695169659
461	0.3693706187
462	0.3692477979
463	0.369132804
464	0.3689634966
465	0.3688380891
466	0.3687135822
467	0.368542176
468	0.3684029152
469	0.3682688817
470	0.3681290138
471	0.3679793797
472	0.3678531754
473	0.3676611853
474	0.3675196694
475	0.367364488
