team_number,score,autoLine,autoReef_tba_botRowCount,autoReef_tba_midRowCount,autoReef_tba_topRowCount,autoReef_trough,foulCount,netAlgaeCount,techFoulCount,teleopReef_tba_botRowCount,teleopReef_tba_midRowCount,teleopReef_tba_topRowCount,teleopReef_trough,wallAlgaeCount,endGame,possition,games,quality
frc8285,89.03571428571429,0.8571428571428571,0.0,0.0,0.8928571428571429,0.5,0.03571428571428571,1.5,0.17857142857142858,2.8214285714285716,3.0714285714285716,3.75,3.892857142857143,1.5,ShallowCage,1,"['2025miken_qm20', '2025miken_qm43', '2025miken_qm6', '2025miken_sf12m1', '2025miken_sf5m1', '2025mimus_qm24', '2025mimus_qm40', '2025mimus_qm5', '2025miken_qm30', '2025miken_qm38', '2025miken_qm59', '2025mimus_qm18', '2025mimus_qm68', '2025miken_qm63', '2025mimus_qm61', '2025mimus_qm72', '2025miken_qm54', '2025miken_sf10m1', '2025miken_sf1m1', '2025mimus_qm12', '2025miken_qm26', '2025mimus_qm30', '2025mimus_qm48', '2025miken_qm13', '2025miken_qm72', '2025miken_qm77', '2025mimus_qm35', '2025mimus_qm56']",-10.56444888784091
frc8286,78.48,1.0,0.04,0.0,0.48,0.32,0.04,1.36,0.44,2.52,2.68,4.52,2.32,1.08,Parked,1,"['2025mibig_qm43', '2025mibig_qm71', '2025mimtp_qm10', '2025mimtp_qm41', '2025mibig_qm17', '2025mimtp_qm35', '2025mibig_qm27', '2025mibig_qm61', '2025mibig_qm9', '2025mimtp_qm22', '2025mimtp_qm55', '2025mimtp_qm6', '2025mibig_qm34', '2025mibig_qm39', '2025mibig_sf6m1', '2025mimtp_qm31', '2025mimtp_qm71', '2025mibig_qm48', '2025mibig_qm67', '2025mibig_qm76', '2025mimtp_qm17', '2025mimtp_qm61', '2025mimtp_qm79', '2025mibig_qm1', '2025mimtp_qm48']",-19.135295880307424
frc829,117.40425531914893,1.0,0.1276595744680851,0.06382978723404255,1.574468085106383,0.44680851063829785,0.1276595744680851,2.234042553191489,0.3617021276595745,2.6595744680851063,4.51063829787234,8.319148936170214,2.25531914893617,1.2765957446808511,Parked,3,"['2025incmp_qm10', '2025incmp_qm75', '2025inlaf_qm63', '2025inlaf_qm70', '2025inlaf_sf12m1', '2025inlaf_sf2m1', '2025inmis_qm17', '2025inmis_qm39', '2025incmp_qm47', '2025inlaf_qm15', '2025inlaf_qm24', '2025inlaf_qm56', '2025inmis_qm10', '2025inmis_qm21', '2025inmis_qm28', '2025inmis_qm35', '2025incmp_qm3', '2025incmp_qm35', '2025incmp_qm51', '2025incmp_sf6m1', '2025inlaf_qm8', '2025inlaf_qm83', '2025inmis_sf10m1', '2025inmis_sf4m1', '2025incmp_qm19', '2025incmp_qm70', '2025inlaf_qm35', '2025inlaf_qm77', '2025inlaf_sf10m1', '2025inlaf_sf5m1', '2025inmis_qm60', '2025inmis_qm71', '2025incmp_qm24', '2025incmp_qm30', '2025incmp_qm58', '2025inlaf_qm42', '2025incmp_qm39', '2025incmp_sf12m1', '2025incmp_sf3m1', '2025incmp_sf9m1', '2025inlaf_qm3', '2025inlaf_qm48', '2025inmis_qm44', '2025inmis_qm52', '2025inmis_qm6', '2025inmis_qm66', '2025inmis_sf8m1']",8.083801598530698
frc8290,79.96551724137932,0.896551724137931,0.034482758620689655,0.0,0.10344827586206896,1.206896551724138,0.2413793103448276,1.103448275862069,0.5517241379310345,0.8620689655172413,1.0,3.3448275862068964,8.344827586206897,1.8620689655172413,Parked,3,"['2025mxto_qm29', '2025mxto_qm3', '2025mxmo_qm69', '2025mxmo_sf2m1', '2025mxto_qm50', '2025mxto_qm60', '2025mxmo_qm31', '2025mxmo_qm41', '2025mxmo_qm48', '2025mxto_qm70', '2025mxto_sf13m1', '2025mxmo_qm14', '2025mxmo_qm19', '2025mxmo_qm24', '2025mxto_qm12', '2025mxto_qm24', '2025mxmo_qm54', '2025mxmo_qm60', '2025mxmo_sf10m1', '2025mxmo_sf5m1', '2025mxto_qm36', '2025mxmo_qm5', '2025mxto_f1m1', '2025mxto_f1m2', '2025mxto_qm17', '2025mxto_qm43', '2025mxto_sf11m1', '2025mxto_sf4m1', '2025mxto_sf8m1']",-2.9319875291257205
frc8291,70.8,1.0,0.0,0.0,0.1,0.3,0.1,1.8,0.3,3.0,3.1,1.7,2.8,1.2,Parked,1,"['2025mxto_qm12', '2025mxto_qm59', '2025mxto_qm66', '2025mxto_qm26', '2025mxto_qm52', '2025mxto_qm32', '2025mxto_qm44', '2025mxto_qm20', '2025mxto_qm39', '2025mxto_qm6']",-6.880138189170452
frc8293,73.58333333333333,0.75,0.0,0.0,0.25,0.3333333333333333,0.6666666666666666,1.4166666666666667,0.5833333333333334,1.8333333333333333,3.4166666666666665,2.4166666666666665,2.25,1.75,Nothing,1,"['2025mxto_qm1', '2025mxto_qm13', '2025mxto_sf3m1', '2025mxto_sf6m1', '2025mxto_qm38', '2025mxto_qm19', '2025mxto_qm33', '2025mxto_qm45', '2025mxto_qm25', '2025mxto_qm60', '2025mxto_qm54', '2025mxto_qm66']",-14.564653506627792
frc8297,78.08333333333333,1.0,0.125,0.0,0.875,0.4166666666666667,0.5,1.1666666666666667,0.4166666666666667,3.2916666666666665,3.1666666666666665,3.625,2.5,0.7083333333333334,Nothing,1,"['2025mibel_qm44', '2025miken_qm70', '2025mibel_qm40', '2025mibel_qm73', '2025miken_qm15', '2025miken_qm24', '2025miken_qm34', '2025mibel_qm17', '2025mibel_qm23', '2025mibel_qm49', '2025miken_qm30', '2025miken_qm65', '2025mibel_qm34', '2025mibel_qm5', '2025mibel_qm80', '2025miken_qm47', '2025miken_qm60', '2025miken_qm78', '2025mibel_qm13', '2025mibel_qm54', '2025miken_qm11', '2025mibel_qm62', '2025miken_qm2', '2025miken_qm53']",-19.356489422959314
frc830,92.6842105263158,0.8421052631578947,0.05263157894736842,0.0,1.5526315789473684,0.2894736842105263,0.05263157894736842,0.9736842105263158,0.10526315789473684,2.6842105263157894,3.3947368421052633,7.184210526315789,1.868421052631579,0.5263157894736842,Parked,2,"['2025mibkn_qm58', '2025misal_qm15', '2025misal_qm55', '2025miwrc_qm16', '2025mibkn_qm39', '2025mibkn_qm50', '2025mibkn_qm64', '2025mibkn_sf1m1', '2025mibkn_sf7m1', '2025mibkn_sf9m1', '2025misal_qm20', '2025misal_qm6', '2025misal_qm62', '2025misal_qm68', '2025misal_sf4m1', '2025miwrc_qm10', '2025mibkn_qm1', '2025mibkn_qm43', '2025misal_qm37', '2025mibkn_qm19', '2025mibkn_qm31', '2025mibkn_qm76', '2025misal_qm10', '2025misal_qm31', '2025miwrc_qm21', '2025mibkn_qm68', '2025mibkn_sf12m1', '2025mibkn_sf13m1', '2025misal_sf12m1', '2025misal_sf6m1', '2025miwrc_qm28', '2025mibkn_qm11', '2025mibkn_qm23', '2025misal_qm44', '2025misal_qm49', '2025misal_qm74', '2025miwrc_qm24', '2025miwrc_qm3']",-22.210041122548503
frc8300,71.57692307692308,0.7692307692307693,0.07692307692307693,0.0,0.5769230769230769,0.34615384615384615,0.038461538461538464,0.5384615384615384,0.5,1.0384615384615385,1.3076923076923077,6.6923076923076925,1.8076923076923077,0.8076923076923077,Parked,3,"['2025mibat_qm20', '2025mibat_qm67', '2025mibkn_qm57', '2025mibkn_qm67', '2025mibkn_qm76', '2025mibat_qm16', '2025mibat_qm34', '2025mibat_qm46', '2025mibkn_qm30', '2025mibkn_qm4', '2025mibat_qm62', '2025mibkn_qm51', '2025mibkn_sf5m1', '2025mibat_qm29', '2025mibat_qm76', '2025mibkn_qm10', '2025mibat_qm2', '2025mibkn_qm18', '2025mibkn_qm71', '2025mibat_qm10', '2025mibat_qm39', '2025mibat_qm53', '2025mibkn_qm24', '2025mibkn_qm35', '2025mibkn_qm42', '2025mibkn_sf1m1']",-19.26618790604168
frc8302,91.76,0.96,0.08,0.08,0.96,0.6,0.16,0.84,0.52,2.12,2.92,6.12,5.28,0.24,Parked,1,"['2025waahs_qm42', '2025waahs_qm66', '2025wabon_qm42', '2025wabon_qm62', '2025waahs_qm50', '2025waahs_qm55', '2025wabon_qm12', '2025wabon_qm28', '2025wabon_qm51', '2025waahs_qm46', '2025wabon_qm23', '2025wabon_qm67', '2025waahs_qm4', '2025waahs_qm70', '2025waahs_sf2m1', '2025wabon_qm31', '2025wabon_qm56', '2025waahs_qm30', '2025waahs_qm9', '2025wabon_qm7', '2025waahs_qm14', '2025waahs_qm24', '2025waahs_qm36', '2025wabon_qm3', '2025wabon_qm37']",-12.201877647946375
